msg_id,timestamp_send,timestamp_recv,rtt_us,msg_size_bytes,success
0,1745256124.6668322,1745256124.6668591,26.941299438476562,800,1
1,1745256124.6754165,1745256124.6754534,36.95487976074219,800,1
2,1745256124.6816015,1745256124.68164,38.38539123535156,800,1
3,1745256124.6896284,1745256124.6896608,32.4249267578125,800,1
4,1745256124.6938052,1745256124.6938381,32.901763916015625,800,1
5,1745256124.6957262,1745256124.6957624,36.2396240234375,800,1
6,1745256124.7019105,1745256124.703333,1422.4052429199219,1000000,1
7,1745256124.7136786,1745256124.7142444,565.7672882080078,1000000,1
8,1745256124.7192595,1745256124.7192957,36.2396240234375,800,1
9,1745256124.7236645,1745256124.7236874,22.88818359375,800,1
10,1745256124.733072,1745256124.733082,10.013580322265625,800,1
11,1745256124.741559,1745256124.7415957,36.716461181640625,800,1
12,1745256124.7513418,1745256124.7513776,35.762786865234375,800,1
13,1745256124.7608652,1745256124.7609024,37.19329833984375,800,1
14,1745256124.767703,1745256124.7677133,10.251998901367188,800,1
15,1745256124.7725456,1745256124.7725828,37.19329833984375,800,1
16,1745256124.7776682,1745256124.7777035,35.28594970703125,800,1
17,1745256124.7808218,1745256124.780857,35.28594970703125,800,1
18,1745256124.7884119,1745256124.7884219,10.013580322265625,800,1
19,1745256124.796412,1745256124.796449,36.95487976074219,800,1
20,1745256124.802716,1745256124.8027513,35.28594970703125,800,1
21,1745256124.8075275,1745256124.8078012,273.70452880859375,1000000,1
22,1745256124.8149595,1745256124.8149953,35.762786865234375,800,1
23,1745256124.8211067,1745256124.821145,38.38539123535156,800,1
24,1745256124.823363,1745256124.8233736,10.49041748046875,800,1
25,1745256124.8256469,1745256124.825954,307.0831298828125,1000000,1
26,1745256124.8299708,1745256124.8300085,37.670135498046875,800,1
27,1745256124.8323689,1745256124.8324194,50.54473876953125,800,1
28,1745256124.8422496,1745256124.842261,11.444091796875,800,1
29,1745256124.8515673,1745256124.8516054,38.14697265625,800,1
30,1745256124.858878,1745256124.8591912,313.2820129394531,1000000,1
31,1745256124.8628778,1745256124.862916,38.14697265625,800,1
32,1745256124.8689997,1745256124.8690372,37.43171691894531,800,1
33,1745256124.8747814,1745256124.874792,10.728836059570312,800,1
34,1745256124.881872,1745256124.8819098,37.90855407714844,800,1
35,1745256124.8870945,1745256124.8871315,36.95487976074219,800,1
36,1745256124.8965728,1745256124.8966107,37.90855407714844,800,1
37,1745256124.90425,1745256124.9042604,10.49041748046875,800,1
38,1745256124.9108412,1745256124.9108794,38.14697265625,800,1
39,1745256124.919989,1745256124.920026,36.95487976074219,800,1
40,1745256124.9284146,1745256124.9284525,37.90855407714844,800,1
41,1745256124.9358723,1745256124.9358828,10.49041748046875,800,1
42,1745256124.9403305,1745256124.9403687,38.14697265625,800,1
43,1745256124.9497807,1745256124.9498184,37.670135498046875,800,1
44,1745256124.9530315,1745256124.953069,37.43171691894531,800,1
45,1745256124.9607663,1745256124.9607768,10.49041748046875,800,1
46,1745256124.96665,1745256124.9666882,38.14697265625,800,1
47,1745256124.9726846,1745256124.9729862,301.59950256347656,1000000,1
48,1745256124.9752524,1745256124.9752905,38.14697265625,800,1
49,1745256124.979099,1745256124.9791372,38.14697265625,800,1
50,1745256124.9853284,1745256124.9853394,10.967254638671875,800,1
51,1745256124.9913573,1745256124.991408,50.78315734863281,800,1
52,1745256124.9927433,1745256124.9931443,401.0200500488281,1000000,1
53,1745256124.996554,1745256124.996989,435.11390686035156,1000000,1
54,1745256125.0011406,1745256125.0011735,32.901763916015625,800,1
55,1745256125.008755,1745256125.0090768,321.8650817871094,1000000,1
56,1745256125.017783,1745256125.0178204,37.43171691894531,800,1
57,1745256125.0252619,1745256125.0252998,37.90855407714844,800,1
58,1745256125.0282116,1745256125.0287483,536.6802215576172,1000000,1
59,1745256125.0352328,1745256125.0352702,37.43171691894531,800,1
60,1745256125.0380108,1745256125.0380487,37.90855407714844,800,1
61,1745256125.041256,1745256125.0412667,10.728836059570312,800,1
62,1745256125.0456939,1745256125.0457313,37.43171691894531,800,1
63,1745256125.0510201,1745256125.0510578,37.670135498046875,800,1
64,1745256125.0529459,1745256125.0534308,484.9433898925781,1000000,1
65,1745256125.0609746,1745256125.061013,38.38539123535156,800,1
66,1745256125.066092,1745256125.0661302,38.14697265625,800,1
67,1745256125.0753632,1745256125.0753736,10.49041748046875,800,1
68,1745256125.0822268,1745256125.0822647,37.90855407714844,800,1
69,1745256125.0904086,1745256125.0904458,37.19329833984375,800,1
70,1745256125.0955336,1745256125.0955715,37.90855407714844,800,1
71,1745256125.0973356,1745256125.097346,10.49041748046875,800,1
72,1745256125.1026685,1745256125.1027055,36.95487976074219,800,1
73,1745256125.105017,1745256125.1050532,36.2396240234375,800,1
74,1745256125.1084552,1745256125.1084929,37.670135498046875,800,1
75,1745256125.1101692,1745256125.11018,10.728836059570312,800,1
76,1745256125.1131732,1745256125.1132104,37.19329833984375,800,1
77,1745256125.1162927,1745256125.1163294,36.716461181640625,800,1
78,1745256125.1246302,1745256125.1250896,459.43260192871094,1000000,1
79,1745256125.1341608,1745256125.1341975,36.716461181640625,800,1
80,1745256125.1374104,1745256125.1374483,37.90855407714844,800,1
81,1745256125.1472523,1745256125.1477718,519.5140838623047,1000000,1
82,1745256125.153173,1745256125.1536887,515.6993865966797,1000000,1
83,1745256125.1592326,1745256125.15927,37.43171691894531,800,1
84,1745256125.1653416,1745256125.1653798,38.14697265625,800,1
85,1745256125.174408,1745256125.1744184,10.49041748046875,800,1
86,1745256125.1804712,1745256125.1805093,38.14697265625,800,1
