msg_id,timestamp_recv,msg_size_bytes
0,1745256514.682798,800
1,1745256514.6863143,800
2,1745256514.6950707,800
3,1745256514.6969595,800
4,1745256514.7020292,14480
5,1745256514.7021594,28960
6,1745256514.7022047,18824
7,1745256514.702226,26064
8,1745256514.702317,64128
9,1745256514.7023435,31856
10,1745256514.702394,32272
11,1745256514.702506,116456
12,1745256514.7025495,56472
13,1745256514.7025704,39096
14,1745256514.7026227,63712
15,1745256514.7027931,382272
16,1745256514.7028558,125408
17,1745256514.709524,65160
18,1745256514.7095773,65160
19,1745256514.7096372,65160
20,1745256514.7096822,65160
21,1745256514.709731,41992
22,1745256514.7097824,65160
23,1745256514.7098334,65160
24,1745256514.7098823,65160
25,1745256514.7099316,65160
26,1745256514.7099752,65160
27,1745256514.710048,65160
28,1745256514.7100968,65160
29,1745256514.7101417,65160
30,1745256514.7101927,65160
31,1745256514.7104597,110928
32,1745256514.7166598,800
33,1745256514.7246113,800
34,1745256514.7311122,800
35,1745256514.7382054,800
36,1745256514.7442646,800
37,1745256514.7516267,260640
38,1745256514.7516894,92672
39,1745256514.751741,65160
40,1745256514.7517807,65160
41,1745256514.7518265,65160
42,1745256514.7518742,65160
43,1745256514.7519217,65160
44,1745256514.75198,65160
45,1745256514.752022,65160
46,1745256514.7520688,65160
47,1745256514.752129,65160
48,1745256514.7521646,60248
49,1745256514.7578378,800
50,1745256514.7676136,800
51,1745256514.7828252,1448
52,1745256514.7829654,152
53,1745256514.784368,800
54,1745256514.7944462,800
55,1745256514.7998636,1448
56,1745256514.8000004,152
57,1745256514.8016837,130320
58,1745256514.8017793,195480
59,1745256514.8018234,76744
60,1745256514.8022017,422816
61,1745256514.8024669,174640
62,1745256514.8041873,130320
63,1745256514.8042915,314216
64,1745256514.8043203,65160
65,1745256514.8043582,70952
66,1745256514.8044298,65160
67,1745256514.8044698,130320
68,1745256514.8044958,65160
69,1745256514.8045242,69504
70,1745256514.8045642,89208
71,1745256514.8139913,800
72,1745256514.820425,800
73,1745256514.8329868,1448
74,1745256514.8330894,152
75,1745256514.8407636,800
76,1745256514.8441603,800
77,1745256514.8493826,130320
78,1745256514.8494515,130320
79,1745256514.8494885,65160
80,1745256514.849554,65160
81,1745256514.849593,65160
82,1745256514.849612,36200
83,1745256514.8496754,65160
84,1745256514.8497508,73848
85,1745256514.8497918,65160
86,1745256514.8498101,2896
87,1745256514.8498628,65160
88,1745256514.8498986,69504
89,1745256514.8499382,70952
90,1745256514.8499873,95800
91,1745256514.8530903,800
92,1745256514.8587837,800
93,1745256514.8669813,65160
94,1745256514.8670192,65160
95,1745256514.8670757,65160
96,1745256514.8671148,65160
97,1745256514.8671646,65160
98,1745256514.8672135,65160
99,1745256514.8672955,72400
100,1745256514.8673427,79640
101,1745256514.8673735,65160
102,1745256514.8673818,4344
103,1745256514.867438,65160
104,1745256514.8674574,4344
105,1745256514.8674898,65160
106,1745256514.8675616,70952
107,1745256514.86763,68056
108,1745256514.8676722,65160
109,1745256514.8677082,48664
110,1745256514.8745284,800
111,1745256514.882757,800
112,1745256514.8886034,1448
113,1745256514.8887289,152
114,1745256514.8984137,800
115,1745256514.9046593,800
116,1745256514.9192777,1448
117,1745256514.9195244,152
118,1745256514.9282289,800
119,1745256514.9360895,130320
120,1745256514.9361565,130320
121,1745256514.936199,65160
122,1745256514.9362586,65160
123,1745256514.9363163,130320
124,1745256514.9363873,65160
125,1745256514.9364245,73848
126,1745256514.9364676,70952
127,1745256514.9365063,65160
128,1745256514.9365456,65160
129,1745256514.9365823,7240
130,1745256514.9366205,65160
131,1745256514.93666,66040
132,1745256514.9399722,800
133,1745256514.9487965,800
134,1745256514.9599886,1448
135,1745256514.9600909,152
136,1745256514.9666734,800
137,1745256514.9740877,800
138,1745256514.976764,65160
139,1745256514.9768007,65160
140,1745256514.9768333,65160
141,1745256514.9768832,65160
142,1745256514.9769464,65160
143,1745256514.9770024,65160
144,1745256514.977051,65160
145,1745256514.9771852,186792
146,1745256514.977367,357088
147,1745256514.979838,800
148,1745256514.9870265,130320
149,1745256514.987093,130320
150,1745256514.9871314,65160
151,1745256514.9871993,65160
152,1745256514.9872482,65160
153,1745256514.9872868,65160
154,1745256514.9873378,65160
155,1745256514.9874096,108600
156,1745256514.9874697,65160
157,1745256514.9875405,70952
158,1745256514.9875858,69504
159,1745256514.987666,99344
160,1745256514.9954865,65160
161,1745256514.9955459,65160
162,1745256514.995597,65160
163,1745256514.9956446,65160
164,1745256514.9956965,65160
165,1745256514.9957485,65160
166,1745256514.9957957,65160
167,1745256514.9958596,65160
168,1745256514.9959111,65160
169,1745256514.995963,65160
170,1745256514.9960077,65160
171,1745256514.9960282,27512
172,1745256514.9960809,69504
173,1745256514.996102,65160
174,1745256514.9961064,2896
175,1745256514.996143,65160
176,1745256514.9961615,53008
177,1745256515.005635,65160
178,1745256515.0056973,65160
179,1745256515.0057786,65160
180,1745256515.0058048,65160
181,1745256515.0058594,65160
182,1745256515.0059109,65160
183,1745256515.005957,65160
184,1745256515.0060084,65160
185,1745256515.006066,65160
186,1745256515.0060961,65160
187,1745256515.006123,65160
188,1745256515.006189,143352
189,1745256515.0062141,65160
190,1745256515.0062711,74728
191,1745256515.0156152,800
192,1745256515.0248575,130320
193,1745256515.0249238,130320
194,1745256515.0249615,65160
195,1745256515.02503,65160
196,1745256515.0250742,65160
197,1745256515.0251238,65160
198,1745256515.025172,65160
199,1745256515.0252085,65160
200,1745256515.0252314,65160
201,1745256515.0252705,65160
202,1745256515.025298,63712
203,1745256515.0253305,68056
204,1745256515.0253744,86312
205,1745256515.026725,800
206,1745256515.0308754,800
207,1745256515.0478027,1448
208,1745256515.0479074,152
209,1745256515.0491877,800
210,1745256515.055409,800
211,1745256515.0695298,1448
212,1745256515.0696654,152
213,1745256515.0740514,800
214,1745256515.0769782,800
215,1745256515.088441,1448
216,1745256515.0885775,152
217,1745256515.0975292,800
218,1745256515.1036046,800
219,1745256515.1168356,1448
220,1745256515.1169722,152
221,1745256515.124423,800
222,1745256515.1299524,800
223,1745256515.1386533,1448
224,1745256515.1387901,152
225,1745256515.1482236,800
226,1745256515.1515405,800
227,1745256515.157652,65160
228,1745256515.15769,65160
229,1745256515.157747,65160
230,1745256515.157786,65160
231,1745256515.1578376,65160
232,1745256515.1578858,65160
233,1745256515.1579251,65160
234,1745256515.1579897,65160
235,1745256515.1580367,65160
236,1745256515.158087,65160
237,1745256515.1581268,65160
238,1745256515.158174,65160
239,1745256515.1582341,65160
240,1745256515.158274,65160
241,1745256515.1583765,87760
242,1745256515.1588147,800
243,1745256515.1654298,800
244,1745256515.1757963,1448
245,1745256515.1759334,152
246,1745256515.181259,800
247,1745256515.1907983,800
248,1745256515.2043817,1448
249,1745256515.2045186,152
250,1745256515.2125664,130320
251,1745256515.2126334,130320
252,1745256515.212675,65160
253,1745256515.2127137,65160
254,1745256515.212752,65160
255,1745256515.212792,65160
256,1745256515.2128575,65160
257,1745256515.212897,65160
258,1745256515.2129369,65160
259,1745256515.212975,65160
260,1745256515.213022,65160
261,1745256515.2130477,47784
262,1745256515.2131405,105136
263,1745256515.2145936,195480
264,1745256515.2146375,130320
265,1745256515.2146823,130320
266,1745256515.214709,65160
267,1745256515.2147353,65160
268,1745256515.2147698,65160
269,1745256515.2147977,65160
270,1745256515.2148414,130320
271,1745256515.2148776,98464
272,1745256515.2149012,54456
273,1745256515.2176034,800
274,1745256515.219866,800
275,1745256515.2234552,1448
276,1745256515.2235925,152
277,1745256515.2264547,800
278,1745256515.2346377,195480
279,1745256515.2347038,130320
280,1745256515.234763,65160
281,1745256515.2348056,65160
282,1745256515.2350192,325800
283,1745256515.2350607,65160
284,1745256515.2351007,65160
285,1745256515.2351658,87760
286,1745256515.2381964,800
287,1745256515.2404964,65160
288,1745256515.2405274,65160
289,1745256515.2406113,65160
290,1745256515.2406495,65160
291,1745256515.240689,65160
292,1745256515.240727,65160
293,1745256515.2407653,65160
294,1745256515.240834,65160
295,1745256515.2408664,65160
296,1745256515.2409043,65160
297,1745256515.2409425,65160
298,1745256515.2409816,65160
299,1745256515.2410474,65160
300,1745256515.241087,65160
301,1745256515.2411573,87760
302,1745256515.2419174,800
303,1745256515.2481985,800
304,1745256515.2560968,65160
305,1745256515.256134,65160
306,1745256515.2561908,65160
307,1745256515.2562304,65160
308,1745256515.2562828,65160
309,1745256515.256329,65160
310,1745256515.2563713,65160
311,1745256515.256421,65160
312,1745256515.2564821,65160
313,1745256515.2565396,65160
314,1745256515.2565875,65160
315,1745256515.2566345,65160
316,1745256515.2566662,65160
317,1745256515.2566915,65160
318,1745256515.2567542,88560
319,1745256515.259142,65160
320,1745256515.2591982,65160
321,1745256515.2592542,65160
322,1745256515.2592978,65160
323,1745256515.2593842,65160
324,1745256515.2594168,65160
325,1745256515.259463,65160
326,1745256515.2595167,65160
327,1745256515.259556,65160
328,1745256515.2595906,65160
329,1745256515.2596157,65160
330,1745256515.2596455,65160
331,1745256515.259675,65160
332,1745256515.2597013,65160
333,1745256515.2597556,87760
334,1745256515.264274,800
335,1745256515.2706912,65160
336,1745256515.2707283,65160
337,1745256515.2707841,65160
338,1745256515.2708242,65160
339,1745256515.2708738,65160
340,1745256515.2709236,65160
341,1745256515.270966,65160
342,1745256515.271026,65160
343,1745256515.2710736,65160
344,1745256515.271123,65160
345,1745256515.2711637,65160
346,1745256515.2712119,65160
347,1745256515.2712767,65160
348,1745256515.2713168,65160
349,1745256515.2714067,87760
350,1745256515.2781916,65160
351,1745256515.278256,65160
352,1745256515.2783039,55024
353,1745256515.2784019,75296
354,1745256515.2784262,65160
355,1745256515.2784758,65160
356,1745256515.2785215,65160
357,1745256515.278573,65160
358,1745256515.27861,65160
359,1745256515.2786388,65160
360,1745256515.2786658,65160
361,1745256515.2786942,65160
362,1745256515.278724,65160
363,1745256515.2787502,65160
364,1745256515.2788084,87760
365,1745256515.2811708,800
366,1745256515.2829573,800
367,1745256515.2938719,1448
368,1745256515.2940083,152
369,1745256515.296981,800
370,1745256515.3001082,130320
371,1745256515.300176,130320
372,1745256515.3002172,65160
373,1745256515.3002923,130320
374,1745256515.3003337,65160
375,1745256515.300395,65160
376,1745256515.3004456,65160
377,1745256515.300485,65160
378,1745256515.3005242,65160
379,1745256515.3005626,65160
380,1745256515.300606,65160
381,1745256515.3006976,87760
382,1745256515.3061357,800
383,1745256515.3122633,800
384,1745256515.3261123,65160
385,1745256515.3261497,65160
386,1745256515.3261814,65160
387,1745256515.326231,65160
388,1745256515.326283,65160
389,1745256515.3263378,65160
390,1745256515.3263817,65160
391,1745256515.3264298,65160
392,1745256515.3264778,65160
393,1745256515.3265295,65160
394,1745256515.3265722,65160
395,1745256515.3266397,65160
396,1745256515.326695,65160
397,1745256515.3267436,65160
398,1745256515.3268065,88560
399,1745256515.3339095,800
400,1745256515.3430803,800
401,1745256515.3474379,65160
402,1745256515.347475,65160
403,1745256515.3475325,65160
404,1745256515.3475711,65160
405,1745256515.3476222,65160
406,1745256515.347671,65160
407,1745256515.3477237,65160
408,1745256515.3477964,65160
409,1745256515.34783,65160
410,1745256515.347935,195480
411,1745256515.3480365,218080
412,1745256515.350154,800
413,1745256515.3588567,800
414,1745256515.3665736,65160
415,1745256515.3666568,130320
416,1745256515.3666906,65160
417,1745256515.3667288,65160
418,1745256515.3667858,65160
419,1745256515.3668249,65160
420,1745256515.3668742,65160
421,1745256515.3669205,65160
422,1745256515.3669803,65160
423,1745256515.3670218,65160
424,1745256515.367073,65160
425,1745256515.367121,65160
426,1745256515.3671625,65160
427,1745256515.367262,87760
428,1745256515.3703542,800
429,1745256515.3801856,800
430,1745256515.3983972,1448
431,1745256515.398534,152
432,1745256515.4085698,130320
433,1745256515.4086602,195480
434,1745256515.4087205,65160
435,1745256515.4087608,65160
436,1745256515.4088047,65160
437,1745256515.4088485,65160
438,1745256515.408904,65160
439,1745256515.40893,65160
440,1745256515.408975,130320
441,1745256515.4090009,65160
442,1745256515.4090416,87760
443,1745256515.4107115,800
444,1745256515.413726,800
445,1745256515.4196022,65160
446,1745256515.4196393,65160
447,1745256515.4196956,65160
448,1745256515.4197338,65160
449,1745256515.4197848,65160
450,1745256515.419834,65160
451,1745256515.4198759,65160
452,1745256515.4201102,456120
453,1745256515.4201665,87760
454,1745256515.4208336,800
455,1745256515.423073,800
456,1745256515.4297373,130320
457,1745256515.429775,65160
458,1745256515.4298184,65160
459,1745256515.4298663,65160
460,1745256515.4299178,65160
461,1745256515.4299595,65160
462,1745256515.4300072,65160
463,1745256515.430068,65160
464,1745256515.4301147,65160
465,1745256515.4301562,65160
466,1745256515.4302065,65160
467,1745256515.4302657,65160
468,1745256515.4302933,65160
469,1745256515.4303908,87760
470,1745256515.4334397,800
471,1745256515.4369924,130320
472,1745256515.4370592,130320
473,1745256515.4371192,65160
474,1745256515.4371595,65160
475,1745256515.4372056,65160
476,1745256515.437315,130320
477,1745256515.4373615,65160
478,1745256515.4374027,65160
479,1745256515.4374514,65160
480,1745256515.4375002,65160
481,1745256515.4375417,65160
482,1745256515.4376252,87760
483,1745256515.4441915,800
484,1745256515.445871,800
485,1745256515.4544625,1448
486,1745256515.4545217,152
487,1745256515.4609666,800
488,1745256515.462385,800
489,1745256515.473483,1448
490,1745256515.4735377,152
491,1745256515.475597,800
492,1745256515.4766364,800
493,1745256515.4861143,1448
494,1745256515.4861758,152
495,1745256515.4950233,800
496,1745256515.5023947,130320
497,1745256515.5024843,195480
498,1745256515.5025427,65160
499,1745256515.5025823,65160
500,1745256515.5026212,65160
501,1745256515.50266,65160
502,1745256515.5027008,65160
503,1745256515.502739,65160
504,1745256515.5028121,65160
505,1745256515.5028443,65160
506,1745256515.502883,65160
507,1745256515.502955,87760
508,1745256515.5129662,65160
509,1745256515.5130606,195480
510,1745256515.5131023,65160
511,1745256515.5131412,65160
512,1745256515.513179,65160
513,1745256515.5132825,65160
514,1745256515.5133734,195480
515,1745256515.5134058,65160
516,1745256515.5134444,65160
517,1745256515.513483,65160
518,1745256515.5135646,87760
519,1745256515.5199716,800
520,1745256515.5265796,800
521,1745256515.536143,1448
522,1745256515.5361984,152
523,1745256515.542997,800
524,1745256515.5505927,800
525,1745256515.5694277,1448
526,1745256515.5694845,152
527,1745256515.576726,800
528,1745256515.5807407,800
529,1745256515.5847402,130320
530,1745256515.584777,65160
531,1745256515.5848207,65160
532,1745256515.584868,65160
533,1745256515.5849206,65160
534,1745256515.584963,65160
535,1745256515.5850112,65160
536,1745256515.5850713,65160
537,1745256515.5851216,65160
538,1745256515.5851688,65160
539,1745256515.585228,65160
540,1745256515.5852666,65160
541,1745256515.5852954,65160
542,1745256515.5853562,87760
543,1745256515.586693,800
544,1745256515.5882175,800
545,1745256515.6047769,130320
546,1745256515.6048434,130320
547,1745256515.6048806,65160
548,1745256515.6049504,65160
549,1745256515.6049895,65160
550,1745256515.6050398,65160
551,1745256515.6050873,65160
552,1745256515.6051362,65160
553,1745256515.605183,65160
554,1745256515.605297,130320
555,1745256515.6053245,65160
556,1745256515.6053772,88560
557,1745256515.6149495,800
558,1745256515.6238143,800
559,1745256515.6333814,1448
560,1745256515.6334057,152
561,1745256515.6423843,65160
562,1745256515.6424768,195480
563,1745256515.6425185,65160
564,1745256515.6425574,65160
565,1745256515.642596,65160
566,1745256515.6426604,65160
567,1745256515.6426928,65160
568,1745256515.6427317,65160
569,1745256515.6427693,65160
570,1745256515.6428072,65160
571,1745256515.6430645,218080
572,1745256515.6441035,800
573,1745256515.653438,800
574,1745256515.665729,1448
575,1745256515.6657598,152
576,1745256515.6687195,800
577,1745256515.6733792,800
578,1745256515.6789765,1448
579,1745256515.679007,152
580,1745256515.6845372,800
581,1745256515.6936615,800
582,1745256515.7037396,1448
583,1745256515.7037704,152
584,1745256515.706958,800
585,1745256515.7144146,800
586,1745256515.7213635,1448
587,1745256515.721394,152
588,1745256515.7237432,800
589,1745256515.7303324,800
590,1745256515.7464306,1448
591,1745256515.7464612,152
592,1745256515.7559443,800
593,1745256515.7623541,1000000
594,1745256515.7648957,800
595,1745256515.7729757,1000000
596,1745256515.7815297,800
597,1745256515.790735,800
598,1745256515.8070924,1448
599,1745256515.8071232,152
600,1745256515.8152266,800
601,1745256515.8182867,800
602,1745256515.8285882,1000000
603,1745256515.828611,800
604,1745256515.832628,800
605,1745256515.8363254,65160
606,1745256515.8363993,65160
607,1745256515.8364613,65160
608,1745256515.8365154,65160
609,1745256515.8365765,65160
610,1745256515.8366487,65160
611,1745256515.8367107,65160
612,1745256515.8367605,65160
613,1745256515.836795,65160
614,1745256515.8368304,65160
615,1745256515.8368628,65160
616,1745256515.8368979,65160
617,1745256515.83694,65160
618,1745256515.8369718,65160
619,1745256515.8370316,87760
620,1745256515.8420963,800
621,1745256515.8515692,800
622,1745256515.8666687,1448
623,1745256515.8667152,152
624,1745256515.869468,800
625,1745256515.8715103,800
626,1745256515.8790674,65160
627,1745256515.8791249,65160
628,1745256515.8791976,65160
629,1745256515.8792696,65160
630,1745256515.8793058,65160
631,1745256515.8793712,65160
632,1745256515.879426,65160
633,1745256515.8794863,65160
634,1745256515.8795578,65160
635,1745256515.8796184,65160
636,1745256515.8796751,65160
637,1745256515.8797426,65160
638,1745256515.8798041,65160
639,1745256515.879839,65160
640,1745256515.879907,87760
641,1745256515.8836503,800
642,1745256515.8880806,800
643,1745256515.8965185,1448
644,1745256515.8965645,152
645,1745256515.8978353,800
646,1745256515.9019291,800
647,1745256515.9138,65160
648,1745256515.9138482,65160
649,1745256515.9139183,65160
650,1745256515.9139714,65160
651,1745256515.9140453,65160
652,1745256515.9141068,65160
653,1745256515.914162,65160
654,1745256515.9142232,65160
655,1745256515.914281,65160
656,1745256515.9143505,65160
657,1745256515.9144022,65160
658,1745256515.9144616,65160
659,1745256515.91452,65160
660,1745256515.914574,65160
661,1745256515.9146745,88560
662,1745256515.920028,800
663,1745256515.9283142,800
664,1745256515.9417393,1448
665,1745256515.9417844,152
666,1745256515.9469934,800
667,1745256515.9520063,800
668,1745256515.9653087,1448
669,1745256515.965356,152
670,1745256515.9706578,800
671,1745256515.9796977,800
672,1745256515.987982,65160
673,1745256515.98803,65160
674,1745256515.9880986,65160
675,1745256515.988151,65160
676,1745256515.9882107,65160
677,1745256515.9882884,65160
678,1745256515.9883401,65160
679,1745256515.9884002,65160
680,1745256515.98846,65160
681,1745256515.9885209,65160
682,1745256515.988575,65160
683,1745256515.9886446,65160
684,1745256515.9887009,65160
685,1745256515.988754,65160
686,1745256515.988852,88560
687,1745256515.9927986,800
688,1745256515.995316,800
689,1745256516.0046332,65160
690,1745256516.0047085,65160
691,1745256516.0047686,65160
692,1745256516.0048225,65160
693,1745256516.0048826,65160
694,1745256516.0049524,65160
695,1745256516.0050173,65160
696,1745256516.0050695,65160
697,1745256516.0051045,65160
698,1745256516.0051386,65160
699,1745256516.005169,65160
700,1745256516.0052025,65160
701,1745256516.005255,65160
702,1745256516.0052764,65160
703,1745256516.0053327,88560
704,1745256516.0076013,800
705,1745256516.0144863,65160
706,1745256516.014532,65160
707,1745256516.0146024,65160
708,1745256516.0146506,65160
709,1745256516.0147295,65160
710,1745256516.0147867,65160
711,1745256516.0148418,65160
712,1745256516.0149024,65160
713,1745256516.014969,65160
714,1745256516.015049,65160
715,1745256516.015088,65160
716,1745256516.0151236,65160
717,1745256516.0151567,65160
718,1745256516.0151873,65160
719,1745256516.0152543,87760
720,1745256516.024045,65160
721,1745256516.0240715,65160
722,1745256516.0241058,65160
723,1745256516.0241377,65160
724,1745256516.0241735,65160
725,1745256516.0242183,65160
726,1745256516.0242565,65160
727,1745256516.02428,65160
728,1745256516.0243158,65160
729,1745256516.024351,65160
730,1745256516.0243814,65160
731,1745256516.0244248,65160
732,1745256516.0244567,65160
733,1745256516.0244875,65160
734,1745256516.0245454,87760
735,1745256516.029224,800
736,1745256516.0321734,800
737,1745256516.0427895,1448
738,1745256516.0428147,152
739,1745256516.0484974,800
740,1745256516.0511453,800
741,1745256516.0568829,65160
742,1745256516.0569556,65160
743,1745256516.0570142,65160
744,1745256516.0570726,65160
745,1745256516.0571332,65160
746,1745256516.0571952,65160
747,1745256516.057292,72400
748,1745256516.057337,57920
749,1745256516.057371,65160
750,1745256516.057433,65160
751,1745256516.0574844,65160
752,1745256516.0575423,65160
753,1745256516.057614,65160
754,1745256516.0576653,65160
755,1745256516.0577612,87760
756,1745256516.0639915,800
757,1745256516.065266,800
758,1745256516.0761,1448
759,1745256516.0761385,152
760,1745256516.0788963,800
761,1745256516.0805273,800
762,1745256516.0935528,1448
763,1745256516.0935993,152
764,1745256516.0966613,800
765,1745256516.100836,800
766,1745256516.1114128,1448
767,1745256516.1114378,152
768,1745256516.1175437,800
769,1745256516.1256037,800
770,1745256516.1416929,1448
771,1745256516.1417208,152
772,1745256516.1512687,800
773,1745256516.1544356,800
774,1745256516.166727,65160
775,1745256516.1667747,65160
776,1745256516.1668584,65160
777,1745256516.1669106,65160
778,1745256516.1669717,65160
779,1745256516.1670344,65160
780,1745256516.1670837,65160
781,1745256516.167146,65160
782,1745256516.1672194,65160
783,1745256516.1672904,65160
784,1745256516.1673439,65160
785,1745256516.1673849,65160
786,1745256516.1674201,65160
787,1745256516.1674504,65160
788,1745256516.1675167,88560
789,1745256516.1686964,800
790,1745256516.1773825,800
791,1745256516.1835191,65160
792,1745256516.1835642,65160
793,1745256516.1836336,65160
794,1745256516.1836853,65160
795,1745256516.1837597,65160
796,1745256516.1838207,65160
797,1745256516.1838756,65160
798,1745256516.1839364,65160
799,1745256516.1839957,65160
800,1745256516.1840646,65160
801,1745256516.1841176,65160
802,1745256516.1841764,65160
803,1745256516.184248,65160
804,1745256516.1842847,65160
805,1745256516.1843798,87760
806,1745256516.1916728,800
807,1745256516.196181,800
808,1745256516.2083175,65160
809,1745256516.2083638,65160
810,1745256516.2084327,65160
811,1745256516.2084842,65160
812,1745256516.2085435,65160
813,1745256516.2086205,65160
814,1745256516.2086747,65160
815,1745256516.2087364,65160
816,1745256516.2087955,65160
817,1745256516.2088518,65160
818,1745256516.2089045,65160
819,1745256516.208975,65160
820,1745256516.2090328,65160
821,1745256516.209085,65160
822,1745256516.2091858,88560
823,1745256516.2159219,800
824,1745256516.2250931,800
825,1745256516.231351,130320
826,1745256516.2313936,65160
827,1745256516.231455,65160
828,1745256516.2315142,65160
829,1745256516.2315743,65160
830,1745256516.2316275,65160
831,1745256516.2317004,65160
832,1745256516.2317605,65160
833,1745256516.231821,65160
834,1745256516.231872,65160
835,1745256516.2319298,65160
836,1745256516.2320018,65160
837,1745256516.2320538,65160
838,1745256516.2321503,87760
839,1745256516.2414422,800
840,1745256516.2443213,65160
841,1745256516.2443497,65160
842,1745256516.2443879,65160
843,1745256516.2444184,65160
844,1745256516.2444751,65160
845,1745256516.2445383,65160
846,1745256516.2445934,65160
847,1745256516.2446554,65160
848,1745256516.2447174,65160
849,1745256516.2447882,65160
850,1745256516.244839,65160
851,1745256516.2448971,65160
852,1745256516.244956,65160
853,1745256516.2450092,65160
854,1745256516.2451103,87760
855,1745256516.248013,800
856,1745256516.2545168,65160
857,1745256516.2545612,65160
858,1745256516.2546308,65160
859,1745256516.2546816,65160
860,1745256516.2547448,65160
861,1745256516.2548187,65160
862,1745256516.2548718,65160
863,1745256516.2549336,65160
864,1745256516.2549915,65160
865,1745256516.2550507,65160
866,1745256516.255104,65160
867,1745256516.2551746,65160
868,1745256516.2552326,65160
869,1745256516.255286,65160
870,1745256516.255388,87760
871,1745256516.2562184,800
872,1745256516.2611768,800
873,1745256516.2743526,130320
874,1745256516.2743964,65160
875,1745256516.2744565,65160
876,1745256516.274517,65160
877,1745256516.2745776,65160
878,1745256516.274631,65160
879,1745256516.2747035,65160
880,1745256516.2747624,65160
881,1745256516.2748244,65160
