msg_id,timestamp_recv,msg_size_bytes
0,1745255929.643762,8000
1,1745255929.654317,14480
2,1745255929.6543822,10136
3,1745255929.6545513,104256
4,1745255929.6546364,65160
5,1745255929.6547382,83840
6,1745255929.6555052,730128
7,1745255929.6666982,1000000
8,1745255929.6668286,8000
9,1745255929.6761992,65160
10,1745255929.6769745,942840
11,1745255929.6867714,130320
12,1745255929.6869197,130320
13,1745255929.687165,393856
14,1745255929.6875625,353504
15,1745255929.6975982,425712
16,1745255929.698071,450328
17,1745255929.6983833,65160
18,1745255929.6984155,66800
19,1745255929.7077954,65160
20,1745255929.7081876,470600
21,1745255929.7084608,130320
22,1745255929.708731,341920
23,1745255929.7190008,521280
24,1745255929.7193563,130320
25,1745255929.7195704,356400
26,1745255929.729327,570512
27,1745255929.7298164,437488
28,1745255929.7397947,130320
29,1745255929.7403262,599472
30,1745255929.7406993,278208
31,1745255929.750651,635672
32,1745255929.7509918,65160
33,1745255929.7511733,307168
34,1745255929.7613218,667528
35,1745255929.7617435,340472
36,1745255929.7718387,130320
37,1745255929.7724411,700832
38,1745255929.7727442,176848
39,1745255929.782774,742824
40,1745255929.7831414,65160
41,1745255929.7832558,200016
42,1745255929.7929013,65160
43,1745255929.793507,780472
44,1745255929.7938218,162368
45,1745255929.8038425,130320
46,1745255929.8045726,822464
47,1745255929.804791,55216
48,1745255929.8148675,805088
49,1745255929.815241,65160
50,1745255929.815296,137752
51,1745255929.8255804,845632
52,1745255929.8258898,162368
53,1745255929.8359187,130320
54,1745255929.8366687,869680
55,1745255929.8368397,8000
56,1745255929.8465524,65160
57,1745255929.8472052,934840
58,1745255929.8473785,8000
59,1745255929.8573835,65160
60,1745255929.8580377,934840
61,1745255929.8581834,8000
62,1745255929.8682284,65160
63,1745255929.8688931,934840
64,1745255929.8690233,8000
65,1745255929.8790221,65160
66,1745255929.87968,934840
67,1745255929.8797994,8000
68,1745255929.8898997,65160
69,1745255929.8905597,934840
70,1745255929.8906727,8000
71,1745255929.900729,65160
72,1745255929.9013922,934840
73,1745255929.9015057,8000
74,1745255929.9115083,65160
75,1745255929.912159,934840
76,1745255929.9122941,8000
77,1745255929.9223397,65160
78,1745255929.9229982,934840
79,1745255929.923105,8000
80,1745255929.933166,65160
81,1745255929.9338229,934840
82,1745255929.9339428,8000
83,1745255929.9439864,65160
84,1745255929.9446533,942080
85,1745255929.9447696,760
86,1745255929.9549217,65160
87,1745255929.9556575,942080
88,1745255929.955913,760
89,1745255929.9657614,195480
90,1745255929.9658055,65160
91,1745255929.9658482,65160
92,1745255929.9658892,65160
93,1745255929.96593,65160
94,1745255929.9659722,65160
95,1745255929.9660285,65160
96,1745255929.9660907,65160
97,1745255929.9661307,65160
98,1745255929.966171,65160
99,1745255929.9662147,65160
100,1745255929.9662662,65160
101,1745255929.9663095,65160
102,1745255929.9663808,22600
103,1745255929.9664884,2248
104,1745255929.9665055,1448
105,1745255929.9665337,304
106,1745255929.966562,1448
107,1745255929.9665813,152
108,1745255929.9666233,800
109,1745255929.9666405,1448
110,1745255929.966658,152
111,1745255929.9769673,65160
112,1745255929.9770029,65160
113,1745255929.9770393,65160
114,1745255929.9770885,65160
115,1745255929.9771278,65160
116,1745255929.9771986,65160
117,1745255929.9772308,65160
118,1745255929.977284,65160
119,1745255929.9773269,65160
120,1745255929.9773772,65160
121,1745255929.9774103,65160
122,1745255929.977476,65160
123,1745255929.9775224,65160
124,1745255929.9775548,65160
125,1745255929.977644,95000
126,1745255929.9776986,760
127,1745255929.9879766,130320
128,1745255929.9889889,876920
129,1745255929.9891465,760
130,1745255929.9999502,130320
131,1745255930.000021,130320
132,1745255930.000064,65160
133,1745255930.000129,65160
134,1745255930.0001724,65160
135,1745255930.0002058,65160
136,1745255930.0002851,127424
137,1745255930.0003438,68056
138,1745255930.0003846,65160
139,1745255930.0004537,65160
140,1745255930.0004861,65160
141,1745255930.0006397,95000
142,1745255930.000674,760
143,1745255930.010952,130320
144,1745255930.0110161,130320
145,1745255930.011057,65160
146,1745255930.0110967,65160
147,1745255930.0111365,65160
148,1745255930.0111945,65160
149,1745255930.0112543,65160
150,1745255930.0112882,62264
151,1745255930.0113297,68056
152,1745255930.0113728,65160
153,1745255930.0114133,65160
154,1745255930.011452,65160
155,1745255930.011593,95000
156,1745255930.01164,760
157,1745255930.0218885,130320
158,1745255930.0219889,195480
159,1745255930.0220342,65160
160,1745255930.022073,65160
161,1745255930.0221117,65160
162,1745255930.0221512,65160
163,1745255930.0221932,65160
164,1745255930.0222316,65160
165,1745255930.0222833,65160
166,1745255930.022324,65160
167,1745255930.0223634,65160
168,1745255930.022443,95000
169,1745255930.0225394,760
170,1745255930.0328114,130320
171,1745255930.0328865,130320
172,1745255930.032944,130320
173,1745255930.032984,65160
174,1745255930.0330396,65160
175,1745255930.0330775,65160
176,1745255930.0331166,65160
177,1745255930.0331538,65160
178,1745255930.0332034,65160
179,1745255930.0332823,65160
180,1745255930.0333138,65160
181,1745255930.0333676,95000
182,1745255930.0334382,760
183,1745255930.0437152,130320
184,1745255930.0437791,130320
185,1745255930.0438204,65160
186,1745255930.0438592,65160
187,1745255930.0438972,65160
188,1745255930.0439353,65160
189,1745255930.0439725,65160
190,1745255930.044034,65160
191,1745255930.0440762,65160
192,1745255930.044114,65160
193,1745255930.0441513,65160
194,1745255930.0441885,65160
195,1745255930.0442798,95000
196,1745255930.044331,760
197,1745255930.05466,130320
198,1745255930.0547478,195480
199,1745255930.0548215,65160
200,1745255930.0548627,65160
201,1745255930.0549173,130320
202,1745255930.0549679,65160
203,1745255930.0550063,65160
204,1745255930.0550618,65160
205,1745255930.0551052,65160
206,1745255930.0551429,65160
207,1745255930.0552661,95000
208,1745255930.05533,760
209,1745255930.0656185,130320
210,1745255930.065684,130320
211,1745255930.0657248,65160
212,1745255930.0657632,65160
213,1745255930.065801,65160
214,1745255930.0658555,65160
215,1745255930.0658937,65160
216,1745255930.0659308,65160
217,1745255930.0659697,65160
218,1745255930.0660188,65160
219,1745255930.0660784,65160
220,1745255930.0661192,65160
221,1745255930.066174,95000
222,1745255930.0662591,760
223,1745255930.076498,65160
224,1745255930.0765681,65160
225,1745255930.0766144,65160
226,1745255930.0766532,65160
227,1745255930.0766914,65160
228,1745255930.0767453,65160
229,1745255930.0770001,613384
230,1745255930.0770257,1448
231,1745255930.0770998,2056
232,1745255930.0771275,152
233,1745255930.0874865,130320
234,1745255930.0875494,130320
235,1745255930.0875905,65160
236,1745255930.0876281,65160
237,1745255930.087666,65160
238,1745255930.0877051,65160
239,1745255930.0877578,65160
240,1745255930.0877964,65160
241,1745255930.0878227,65160
242,1745255930.087848,65160
243,1745255930.0878682,65160
244,1745255930.0878937,65160
245,1745255930.087942,92104
246,1745255930.0879703,1448
247,1745255930.0880065,608
248,1745255930.088043,800
249,1745255930.0880742,800
250,1745255930.0984151,65160
251,1745255930.09855,260640
252,1745255930.098604,65160
253,1745255930.0986423,65160
254,1745255930.0986927,65160
255,1745255930.0987403,65160
256,1745255930.0987875,65160
257,1745255930.0988142,65160
258,1745255930.0988522,65160
259,1745255930.09888,65160
260,1745255930.0989037,65160
261,1745255930.0989568,93552
262,1745255930.0989678,1448
263,1745255930.0990355,760
264,1745255930.1093261,65160
265,1745255930.1093626,65160
266,1745255930.1094203,65160
267,1745255930.1094594,65160
268,1745255930.1095107,65160
269,1745255930.1095598,65160
270,1745255930.1096,65160
271,1745255930.1096606,65160
272,1745255930.1097076,65160
273,1745255930.109756,65160
274,1745255930.1097958,65160
275,1745255930.1098306,65160
276,1745255930.109865,65160
277,1745255930.1098905,65160
278,1745255930.109973,95000
279,1745255930.110023,760
280,1745255930.1203449,195480
281,1745255930.1203804,65160
282,1745255930.1204126,65160
283,1745255930.12047,65160
284,1745255930.1205087,65160
285,1745255930.12056,65160
286,1745255930.1206193,65160
287,1745255930.1206663,65160
288,1745255930.1207101,65160
289,1745255930.1207566,65160
290,1745255930.1208036,65160
291,1745255930.1208405,65160
292,1745255930.1209037,95000
293,1745255930.1210377,760
294,1745255930.1314185,325800
295,1745255930.131455,65160
296,1745255930.1314847,65160
297,1745255930.1315424,65160
298,1745255930.1315854,65160
299,1745255930.131646,65160
300,1745255930.1316893,65160
301,1745255930.131738,65160
302,1745255930.1317866,65160
303,1745255930.131833,65160
304,1745255930.131927,95000
305,1745255930.1320353,760
306,1745255930.142146,65160
307,1745255930.1421824,65160
308,1745255930.1422327,65160
309,1745255930.1422856,65160
310,1745255930.142324,65160
311,1745255930.142375,65160
312,1745255930.1424162,65160
313,1745255930.1424758,65160
314,1745255930.1425238,65160
315,1745255930.1425707,65160
316,1745255930.1426134,65160
317,1745255930.1426587,65160
318,1745255930.142719,65160
319,1745255930.142762,65160
320,1745255930.1428566,95000
321,1745255930.1430695,760
322,1745255930.1530874,130320
323,1745255930.1531234,65160
324,1745255930.1531684,65160
325,1745255930.15322,65160
326,1745255930.1532698,65160
327,1745255930.1533108,65160
328,1745255930.1533608,65160
329,1745255930.1534202,65160
330,1745255930.1534684,65160
331,1745255930.153509,65160
332,1745255930.1535578,65160
333,1745255930.1536036,65160
334,1745255930.153646,65160
335,1745255930.1537464,95000
336,1745255930.1538675,760
337,1745255930.164034,260640
338,1745255930.1640854,65160
339,1745255930.164138,65160
340,1745255930.1641788,65160
341,1745255930.1642275,65160
342,1745255930.1642752,65160
343,1745255930.164336,65160
344,1745255930.1643765,65160
345,1745255930.1644263,65160
346,1745255930.1644752,65160
347,1745255930.1645164,65160
348,1745255930.164613,95000
349,1745255930.1648583,760
350,1745255930.1749082,260640
351,1745255930.1749454,65160
352,1745255930.1750073,65160
353,1745255930.1750448,65160
354,1745255930.175098,65160
355,1745255930.1751437,65160
356,1745255930.1751926,65160
357,1745255930.1752331,65160
358,1745255930.1752968,65160
359,1745255930.175344,65160
360,1745255930.175384,65160
361,1745255930.1754737,95000
362,1745255930.1757107,760
363,1745255930.1856496,65160
364,1745255930.185686,65160
365,1745255930.18574,65160
366,1745255930.1857786,65160
367,1745255930.1858282,65160
368,1745255930.185877,65160
369,1745255930.1859195,65160
370,1745255930.1862178,551120
371,1745255930.1864054,760
372,1745255930.1965976,130320
373,1745255930.1966338,65160
374,1745255930.1966786,65160
375,1745255930.196727,65160
376,1745255930.1967762,65160
377,1745255930.196816,65160
378,1745255930.1968632,65160
379,1745255930.1969237,65160
380,1745255930.1969695,65160
381,1745255930.196999,65160
382,1745255930.1970267,65160
383,1745255930.1970556,65160
384,1745255930.1970818,65160
385,1745255930.1971424,95000
386,1745255930.1973608,760
387,1745255930.2074382,195480
388,1745255930.2074826,65160
389,1745255930.2075307,65160
390,1745255930.207577,65160
391,1745255930.207621,65160
392,1745255930.207667,65160
393,1745255930.207714,65160
394,1745255930.2077749,65160
395,1745255930.2078176,65160
