msg_id,timestamp_send,timestamp_recv,rtt_us,msg_size_bytes,success
0,1745255929.643493,1745255929.6435108,17.881393432617188,800,1
1,1745255929.6435251,1745255929.6435277,2.6226043701171875,800,1
2,1745255929.6435325,1745255929.6435394,6.9141387939453125,800,1
3,1745255929.643549,1745255929.6435504,1.430511474609375,800,1
4,1745255929.643554,1745255929.6435595,5.4836273193359375,800,1
5,1745255929.6435676,1745255929.6435695,1.9073486328125,800,1
6,1745255929.6435728,1745255929.6435785,5.7220458984375,800,1
7,1745255929.643587,1745255929.6436186,31.47125244140625,800,1
8,1745255929.643622,1745255929.6436427,20.742416381835938,800,1
9,1745255929.643646,1745255929.6436474,1.430511474609375,800,1
10,1745255929.6542315,1745255929.6546426,411.03363037109375,1000000,1
11,1745255929.654758,1745255929.6547632,5.245208740234375,800,1
12,1745255929.6547682,1745255929.6547694,1.1920928955078125,800,1
13,1745255929.6547728,1745255929.654774,1.1920928955078125,800,1
14,1745255929.6547773,1745255929.6547797,2.384185791015625,800,1
15,1745255929.654783,1745255929.6547976,14.543533325195312,800,1
16,1745255929.6548011,1745255929.654803,1.9073486328125,800,1
17,1745255929.654806,1745255929.6548073,1.430511474609375,800,1
18,1745255929.6548107,1745255929.6548119,1.1920928955078125,800,1
19,1745255929.6548152,1745255929.6548173,2.1457672119140625,800,1
20,1745255929.6548207,1745255929.6548226,1.9073486328125,800,1
21,1745255929.6655831,1745255929.6657982,215.05355834960938,1000000,1
22,1745255929.6658149,1745255929.665817,2.1457672119140625,800,1
23,1745255929.665822,1745255929.665832,10.013580322265625,800,1
24,1745255929.6658368,1745255929.665839,2.1457672119140625,800,1
25,1745255929.6658475,1745255929.6658502,2.6226043701171875,800,1
26,1745255929.6658547,1745255929.6658568,2.1457672119140625,800,1
27,1745255929.6658611,1745255929.6658633,2.1457672119140625,800,1
28,1745255929.6658678,1745255929.6658828,15.020370483398438,800,1
29,1745255929.6658876,1745255929.6658893,1.6689300537109375,800,1
30,1745255929.6658938,1745255929.6659036,9.775161743164062,800,1
31,1745255929.6659079,1745255929.6659105,2.6226043701171875,800,1
32,1745255929.6760375,1745255929.6762514,213.86146545410156,1000000,1
33,1745255929.67627,1745255929.6762733,3.337860107421875,800,1
34,1745255929.676292,1745255929.6762948,2.86102294921875,800,1
35,1745255929.6763022,1745255929.676306,3.814697265625,800,1
36,1745255929.6763132,1745255929.6763163,3.0994415283203125,800,1
37,1745255929.6763237,1745255929.676327,3.337860107421875,800,1
38,1745255929.6763341,1745255929.6763372,3.0994415283203125,800,1
39,1745255929.6763444,1745255929.6763477,3.337860107421875,800,1
40,1745255929.676355,1745255929.676381,26.226043701171875,800,1
41,1745255929.676419,1745255929.6764238,4.76837158203125,800,1
42,1745255929.67643,1745255929.6764326,2.6226043701171875,800,1
43,1745255929.686569,1745255929.6868484,279.42657470703125,1000000,1
44,1745255929.6868668,1745255929.6869292,62.465667724609375,800,1
45,1745255929.686945,1745255929.6869476,2.6226043701171875,800,1
46,1745255929.686962,1745255929.6869648,2.86102294921875,800,1
47,1745255929.6869707,1745255929.6869738,3.0994415283203125,800,1
48,1745255929.6869798,1745255929.6869824,2.6226043701171875,800,1
49,1745255929.6869884,1745255929.6869907,2.384185791015625,800,1
50,1745255929.686997,1745255929.6869996,2.6226043701171875,800,1
51,1745255929.6870053,1745255929.687008,2.6226043701171875,800,1
52,1745255929.687014,1745255929.6870167,2.6226043701171875,800,1
53,1745255929.6870227,1745255929.6870253,2.6226043701171875,800,1
54,1745255929.6971622,1745255929.6974566,294.4469451904297,1000000,1
55,1745255929.6974661,1745255929.6974788,12.636184692382812,800,1
56,1745255929.697485,1745255929.6974878,2.86102294921875,800,1
57,1745255929.697494,1745255929.6974976,3.5762786865234375,800,1
58,1745255929.6975036,1745255929.697506,2.384185791015625,800,1
59,1745255929.697512,1745255929.6975145,2.6226043701171875,800,1
60,1745255929.6975205,1745255929.697523,2.6226043701171875,800,1
61,1745255929.697535,1745255929.697538,2.86102294921875,800,1
62,1745255929.6975436,1745255929.6975467,3.0994415283203125,800,1
63,1745255929.6975527,1745255929.6975553,2.6226043701171875,800,1
64,1745255929.6975613,1745255929.697564,2.6226043701171875,800,1
65,1745255929.7076998,1745255929.7079856,285.86387634277344,1000000,1
66,1745255929.7080047,1745255929.7080076,2.86102294921875,800,1
67,1745255929.7080138,1745255929.708026,12.159347534179688,800,1
68,1745255929.708032,1745255929.708035,3.0994415283203125,800,1
69,1745255929.708041,1745255929.7080438,2.86102294921875,800,1
70,1745255929.7080498,1745255929.7080522,2.384185791015625,800,1
71,1745255929.708058,1745255929.7080607,2.6226043701171875,800,1
72,1745255929.7080665,1745255929.708069,2.6226043701171875,800,1
73,1745255929.708075,1745255929.7080781,3.0994415283203125,800,1
74,1745255929.7080839,1745255929.7080865,2.6226043701171875,800,1
75,1745255929.7080922,1745255929.708095,2.86102294921875,800,1
76,1745255929.718232,1745255929.7185192,287.2943878173828,1000000,1
77,1745255929.718538,1745255929.7185416,3.5762786865234375,800,1
78,1745255929.7185478,1745255929.7185504,2.6226043701171875,800,1
79,1745255929.7185564,1745255929.7185597,3.337860107421875,800,1
80,1745255929.7185657,1745255929.718568,2.384185791015625,800,1
81,1745255929.718574,1745255929.7185767,2.6226043701171875,800,1
82,1745255929.7185826,1745255929.718585,2.384185791015625,800,1
83,1745255929.718591,1745255929.7185936,2.6226043701171875,800,1
84,1745255929.7185993,1745255929.7186024,3.0994415283203125,800,1
85,1745255929.7186084,1745255929.718611,2.6226043701171875,800,1
